"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS"
273813300,8607086,351364,43.10707,131.9029,0,5,0,5,2022-02-04 18:08:00,"TER",1
316023833,9185188,382914,49.22597,-124.8141,0,24,24,8,2022-02-04 18:07:00,"TER",23
369970147,9349069,457336,48.12898,-123.4255,5,214,10,0,2022-02-04 18:07:00,"TER",43
316039171,9781839,5837763,48.42127,-123.3875,0,46,46,5,2022-02-04 18:05:00,"TER",53
273813300,8607086,351364,43.10707,131.9029,0,5,0,5,2022-02-04 19:01:00,"TER",0
316023833,9185188,382914,49.22595,-124.8141,0,24,25,8,2022-02-04 19:03:00,"TER",99
369970147,9349069,457336,48.12859,-123.4263,0,22,170,1,2022-02-04 19:05:00,"TER",14
316039171,9781839,5837763,48.42127,-123.3875,0,47,46,5,2022-02-04 19:05:00,"TER",53
273813300,8607086,351364,43.10707,131.9029,0,5,0,5,2022-02-04 20:08:00,"TER",2
316023833,9185188,382914,49.22595,-124.8141,0,23,24,8,2022-02-04 20:03:00,"TER",23
369970147,9349069,457336,48.1284,-123.4254,0,331,170,1,2022-02-04 20:05:00,"TER",17
316039171,9781839,5837763,48.42127,-123.3875,0,47,47,5,2022-02-04 20:05:00,"TER",54
273813300,8607086,351364,43.1071,131.9029,0,5,0,5,2022-02-04 21:10:02,"TER",1
316023833,9185188,382914,49.22597,-124.8141,0,25,24,8,2022-02-04 21:10:04,"TER",3
369970147,9349069,457336,48.12849,-123.4253,0,327,170,1,2022-02-04 21:08:12,"TER",10
316039171,9781839,5837763,48.42127,-123.3875,0,47,46,5,2022-02-04 21:08:57,"TER",54
273813300,8607086,351364,43.10708,131.9029,0,5,0,5,2022-02-04 22:05:01,"TER",0
316023833,9185188,382914,49.22593,-124.8141,0,24,25,8,2022-02-04 22:04:18,"TER",99
369970147,9349069,457336,48.12858,-123.4252,0,295,170,1,2022-02-04 22:05:15,"TER",14
316039171,9781839,5837763,48.42127,-123.3875,0,47,46,5,2022-02-04 22:05:56,"TER",54
273813300,8607086,351364,43.10709,131.903,1,5,16,5,2022-02-04 23:06:49,"TER",48
316023833,9185188,382914,49.226,-124.8141,0,24,24,8,2022-02-04 23:05:22,"TER",21
369970147,9349069,457336,48.12861,-123.4258,1,23,247,1,2022-02-04 23:05:13,"TER",11
